Hit_Direction,Response_Position,Ch,x_H,y_H,z_H,x_R,y_R,z_R,Num
0,114,1,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,67
1,114,1,-0.174999997,-0.25,0.079999998,0.15,-0.24849999,0.032000002,68
1,114,1,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,69
2,116,1,0.091666669,-0.24849999,0.032000002,0,0.25,0.034000002,70
0,119,1,0.075000003,-0.100000001,0.057,0.150000006,0.201499999,0.032499999,71
0,120,1,0.125,0.25,0.057,0.091666669,0.25,0.017000001,72
1,120,1,0.125,0.25,0.057,0.091666669,0.25,0.017000001,73
0,121,1,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,74
1,121,1,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,75
1,125,1,0,0.200000003,0.034000002,0.174999997,-0.201499999,0.032000002,76
1,126,1,-0.174999997,0.25,0,-0.091666669,-0.25,0.017000001,77
1,127,1,-0.174999997,0.25,0.034000002,-0.174999997,-0.223499998,0.032000002,78
1,131,1,-0.174999997,-0.25,0.114,0,-0.200000003,0.017000001,79
0,133,1,-0.125,-0.100000001,0.034000002,0.174999997,-0.25,0.017000001,80
2,134,1,-0.150000006,-0.201499999,0.032000002,0.150000006,0.223499998,0.032499999,81
1,135,1,0.091666669,0.25,0.017000001,0.174999997,0.223499998,0.032499999,82
1,139,1,0.150000006,0.25,0.079999998,-0.150000006,0.24849999,0.032499999,83
0,142,1,0.175,-0.25,0.079999998,-0.116666667,0.25,0,84
1,142,1,0.175,-0.25,0.079999998,-0.116666667,0.25,0,85
2,146,1,0.091666669,0.226500005,0.032499999,0.150000006,0.25,0.017000001,86
2,146,1,-0.008333335,0.201499999,0.032499999,0.150000006,0.25,0.017000001,87
0,148,1,-0.075000003,-0.200000003,0.057,0,0.25,0,88
1,148,1,-0.075000003,-0.200000003,0.017000001,0,0.25,0,89
1,150,1,0,0.200000003,0,0.174999997,0.25,0.017000001,90
2,150,1,-0.091666669,0.24849999,0.032499999,0.174999997,0.25,0.017000001,91
1,151,1,-0.174999997,-0.25,0.097000003,-0.116666667,-0.25,0,92
0,153,1,-0.125,0.200000003,0.057,-0.125,-0.100000001,0.079999998,93
0,155,1,-0.075000003,-0.200000003,0.034,-0.075000003,-0.100000001,0.034000002,94
1,155,1,-0.075000003,-0.200000003,0,-0.075000003,-0.100000001,0.034000002,95
1,161,1,-0.116666667,0.25,0,-0.125,-0.200000003,0.057,96
1,162,1,0,0.200000003,0.057,-0.125,-0.100000001,0.034000002,97
0,163,1,-0.075000003,0.200000003,0.057,0.075000003,0.100000001,0.057,98
1,163,1,-0.075000003,0.200000003,0.017000001,0.075000003,0.100000001,0.057,99
2,164,1,0.174999997,0.24849999,0.032499999,0.075000003,0.200000003,0.057,100
1,167,1,0.174999997,0.25,0,0.075000003,0,0.057,101
0,168,1,-0.125,-2.77556e-17,0.034000002,0.125,-0.100000001,0.034000002,102
1,175,1,0.058333334,-0.25,0.114,-0.125,0.100000001,0.079999998,103
0,177,1,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,104
0,177,1,-0.125,0.224999994,0.079999998,-0.125,0.100000001,0.057,105
1,177,1,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,106
1,177,1,0.116666667,0.25,0,-0.125,0.100000001,0.057,107
1,184,1,0.116666667,-0.25,0,0.125,-0.224999994,0.079999998,108
0,186,1,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,109
1,186,1,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,110
2,190,1,-0.091666669,-0.24849999,0.032000002,0.075000003,0.100000001,0.034000002,111
0,193,1,0.125,0.224999994,0.079999998,0,0.200000003,0.079999998,112
0,198,1,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,113
1,198,1,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,114
1,199,1,-0.150000006,-0.25,0.034000002,-0.125,-0.224999994,0.079999998,115
1,207,1,0.174999997,-0.25,0.114,0,-0.200000003,0.079999998,116
1,207,1,-0.033333331,-0.25,0.097000003,0,-0.200000003,0.079999998,117
0,208,1,-0.075000003,-0.200000003,0.057,-0.075000003,0.200000003,0.097000003,118
1,208,1,-0.075000003,-0.200000003,0.017000001,-0.075000003,0.200000003,0.097000003,119
2,209,1,0.174999997,0.24849999,0.032499999,-0.150000006,-0.25,0.079999998,120
2,217,1,-0.174999997,-0.223499998,0.032000002,0,-0.200000003,0.097000003,121
0,218,1,0.075000003,-0.200000003,0.057,0.150000006,-0.25,0.08,122
1,218,1,0.075000003,-0.200000003,0,0.150000006,-0.25,0.097000003,123
0,219,1,0.125,-0.224999994,0.057,-0.116666667,-0.25,0.114,124
0,222,1,-0.075000003,0.100000001,0.034000002,0,-0.25,0.114,125
2,223,1,0.174999997,0.24849999,0.032499999,0.116666667,-0.25,0.114,126
0,225,1,0.125,0.25,0.079999998,0.091666669,0.25,0.097000003,127
1,225,1,0.125,0.25,0.079999998,0.091666669,0.25,0.097000003,128
0,226,1,-0.075000003,0.200000003,0.057,0.15,0.25,0.114,129
1,226,1,-0.075000003,0.200000003,0.097000003,0.15,0.25,0.114,130
2,234,1,-0.008333335,0.201499999,0,0.174999997,0.25,0.097000003,131
1,235,1,-0.116666667,-0.25,0.114,-0.091666669,0.25,0.097000003,132
2,238,1,-0.150000006,0.24849999,0.032499999,-0.150000006,0.25,0.079999998,133
2,239,1,-0.008333335,0.223499998,0.032499999,-0.174999997,0.25,0.097000003,134
1,1,2,0,-0.200000003,0,0.174999997,0.25,0,1
1,3,2,0,0.25,0,0.125,0.25,0.034000002,2
0,6,2,-0.075000003,-0.100000001,0.057,0.125,0.200000003,0.034000002,3
1,8,2,-0.150000006,0.25,0.097000003,-0.075000003,0.200000003,0,4
0,10,2,-0.125,-0.224999994,0.079999998,-0.075000003,0.200000003,0.034000002,5
1,10,2,-0.174999997,-0.25,0,-0.075000003,0.200000003,0.034000002,6
0,12,2,0.125,0.224999994,0.034000002,0.125,-0.25,0.034000002,7
1,12,2,-0.116666667,-0.25,0.114,0.125,-0.25,0.034000002,8
0,21,2,0.075000003,-0.200000003,0,0.174999997,-0.25,0,9
1,21,2,0.075000003,-0.200000003,0,0.174999997,-0.25,0,10
2,24,2,-0.150000006,0.24849999,0.032499999,0.075000003,0.200000003,0.079999998,11
0,25,2,0.075000003,0.200000003,0.034,-0.075000003,0.200000003,0.079999998,12
0,25,2,0.125,0.100000001,0.057,-0.075000003,0.200000003,0.079999998,13
1,25,2,-0.058333334,0.25,0.114,-0.075000003,0.200000003,0.079999998,14
1,25,2,0.075000003,0.200000003,0.017000001,-0.075000003,0.200000003,0.079999998,15
2,28,2,0.091666669,0.24849999,0.032499999,-0.125,0.25,0.079999998,16
0,31,2,0.075000003,0.100000001,0.034000002,0.125,0.200000003,0.079999998,17
0,33,2,0.075000003,-0.100000001,0.079999998,0.125,-0.200000003,0.079999998,18
0,34,2,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,19
1,34,2,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,20
0,37,2,-0.125,-0.224999994,0.034000002,-0.174999997,0.25,0.114,21
1,37,2,-0.058333334,0.25,0.114,-0.174999997,0.25,0.114,22
1,38,2,0.150000006,0.25,0.034000002,-0.174999997,0.25,0.079999998,23
2,40,2,-0.091666669,0.24849999,0.032499999,0.075000003,0.200000003,0.114,24
0,50,2,0.125,-0.224999994,0.034000002,-0.058333334,-0.25,0,25
1,52,2,0,0.25,0.114,0.125,-0.05,0.034000002,26
0,53,2,0.125,0.224999994,0.057,0.075000003,-0.05,0.034000002,27
1,53,2,-0.150000006,0.25,0.079999998,0.075000003,-0.05,0.034000002,28
0,54,2,-0.125,-0.224999994,0.034000002,0.075000003,-0.05,0.079999998,29
1,56,2,-0.174999997,-0.25,0.097000003,-0.075000003,-0.075,0.079999998,30
0,60,2,0.125,0.25,0.034000002,0.058333334,0.25,0.114,31
1,60,2,0.125,0.25,0.034000002,0.058333334,0.25,0.114,32
2,61,2,-0.091666669,0.24849999,0.032499999,-0.058333334,0.25,0.114,33
2,61,2,0.091666669,-0.201499999,0.032000002,-0.058333334,0.25,0.114,34
1,64,2,-0.058333334,-0.25,0.114,-0.150000006,-0.24849999,0.032000002,35
0,66,2,-0.075000003,-0.200000003,0.034000002,0,0.200000003,0.017000001,36
1,66,2,-0.075000003,-0.200000003,0.034000002,0,0.200000003,0.017000001,37
2,66,2,0.06666667,0.201499999,0.032499999,0,0.200000003,0.017000001,38
1,71,2,0,0.25,0.034000002,-0.033333331,0.24849999,0.032499999,39
1,72,2,-0.174999997,-0.25,0.034000002,-0.033333331,0.25,0.017000001,40
0,73,2,-0.075000003,-0.100000001,0.034000002,0.091666669,-0.201499999,0.032000002,41
1,74,2,0.174999997,-0.25,0.079999998,0.06666667,-0.201499999,0.032000002,42
0,75,2,0.125,-0.200000003,0.034000002,0.06666667,-0.25,0.032000002,43
0,75,2,0.125,-0.100000001,0.034000002,0.06666667,-0.25,0.032000002,44
1,75,2,0.125,-0.200000003,0.034000002,0.06666667,-0.25,0.032000002,45
0,77,2,0.125,-0.224999994,0.079999998,0.008333335,-0.25,0.032000002,46
1,78,2,-0.150000006,0.25,0.034000002,0.116666667,-0.25,0,47
0,84,2,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,48
1,84,2,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,49
1,85,2,-0.116666667,-0.25,0,0.091666669,-0.205,0.032499999,50
2,85,2,-0.150000006,0.226500005,0.032499999,0.091666669,-0.205,0.032499999,51
1,91,2,-0.150000006,0.25,0.017000001,-0.008333335,0.201499999,0.032499999,52
1,94,2,-0.174999997,-0.25,0.079999998,-0.125,-0.205,0.034000002,53
1,97,2,0.150000006,-0.25,0.017000001,-0.150000006,-0.201499999,0.032000002,54
0,99,2,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,55
1,99,2,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,56
0,102,2,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,57
1,102,2,0.058333334,-0.25,0.114,-0.06666667,-0.201499999,0.032000002,58
1,102,2,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,59
0,106,2,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,60
1,106,2,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,61
0,109,2,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,62
1,109,2,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,63
1,110,2,-0.058333334,-0.25,0.114,0.150000006,-0.24849999,0.032000002,64
2,110,2,0.091666669,-0.223499998,0.032000002,0.150000006,-0.24849999,0.032000002,65
2,113,2,-0.06666667,-0.201499999,0.032000002,0.15,-0.2485,0.032000002,66
0,114,2,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,67
1,114,2,-0.174999997,-0.25,0.079999998,0.15,-0.24849999,0.032000002,68
1,114,2,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,69
2,116,2,0.091666669,-0.24849999,0.032000002,0,0.25,0.034000002,70
0,119,2,0.075000003,-0.100000001,0.057,0.150000006,0.201499999,0.032499999,71
0,120,2,0.125,0.25,0.057,0.091666669,0.25,0.017000001,72
1,120,2,0.125,0.25,0.057,0.091666669,0.25,0.017000001,73
0,121,2,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,74
1,121,2,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,75
1,125,2,0,0.200000003,0.034000002,0.174999997,-0.201499999,0.032000002,76
1,126,2,-0.174999997,0.25,0,-0.091666669,-0.25,0.017000001,77
1,127,2,-0.174999997,0.25,0.034000002,-0.174999997,-0.223499998,0.032000002,78
1,131,2,-0.174999997,-0.25,0.114,0,-0.200000003,0.017000001,79
0,133,2,-0.125,-0.100000001,0.034000002,0.174999997,-0.25,0.017000001,80
2,134,2,-0.150000006,-0.201499999,0.032000002,0.150000006,0.223499998,0.032499999,81
1,135,2,0.091666669,0.25,0.017000001,0.174999997,0.223499998,0.032499999,82
1,139,2,0.150000006,0.25,0.079999998,-0.150000006,0.24849999,0.032499999,83
0,142,2,0.175,-0.25,0.079999998,-0.116666667,0.25,0,84
1,142,2,0.175,-0.25,0.079999998,-0.116666667,0.25,0,85
2,146,2,0.091666669,0.226500005,0.032499999,0.150000006,0.25,0.017000001,86
2,146,2,-0.008333335,0.201499999,0.032499999,0.150000006,0.25,0.017000001,87
0,148,2,-0.075000003,-0.200000003,0.057,0,0.25,0,88
1,148,2,-0.075000003,-0.200000003,0.017000001,0,0.25,0,89
1,150,2,0,0.200000003,0,0.174999997,0.25,0.017000001,90
2,150,2,-0.091666669,0.24849999,0.032499999,0.174999997,0.25,0.017000001,91
1,151,2,-0.174999997,-0.25,0.097000003,-0.116666667,-0.25,0,92
0,153,2,-0.125,0.200000003,0.057,-0.125,-0.100000001,0.079999998,93
0,155,2,-0.075000003,-0.200000003,0.034,-0.075000003,-0.100000001,0.034000002,94
1,155,2,-0.075000003,-0.200000003,0,-0.075000003,-0.100000001,0.034000002,95
1,161,2,-0.116666667,0.25,0,-0.125,-0.200000003,0.057,96
1,162,2,0,0.200000003,0.057,-0.125,-0.100000001,0.034000002,97
0,163,2,-0.075000003,0.200000003,0.057,0.075000003,0.100000001,0.057,98
1,163,2,-0.075000003,0.200000003,0.017000001,0.075000003,0.100000001,0.057,99
2,164,2,0.174999997,0.24849999,0.032499999,0.075000003,0.200000003,0.057,100
1,167,2,0.174999997,0.25,0,0.075000003,0,0.057,101
0,168,2,-0.125,-2.77556e-17,0.034000002,0.125,-0.100000001,0.034000002,102
1,175,2,0.058333334,-0.25,0.114,-0.125,0.100000001,0.079999998,103
0,177,2,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,104
0,177,2,-0.125,0.224999994,0.079999998,-0.125,0.100000001,0.057,105
1,177,2,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,106
1,177,2,0.116666667,0.25,0,-0.125,0.100000001,0.057,107
1,184,2,0.116666667,-0.25,0,0.125,-0.224999994,0.079999998,108
0,186,2,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,109
1,186,2,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,110
2,190,2,-0.091666669,-0.24849999,0.032000002,0.075000003,0.100000001,0.034000002,111
0,193,2,0.125,0.224999994,0.079999998,0,0.200000003,0.079999998,112
0,198,2,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,113
1,198,2,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,114
1,199,2,-0.150000006,-0.25,0.034000002,-0.125,-0.224999994,0.079999998,115
1,207,2,0.174999997,-0.25,0.114,0,-0.200000003,0.079999998,116
1,207,2,-0.033333331,-0.25,0.097000003,0,-0.200000003,0.079999998,117
0,208,2,-0.075000003,-0.200000003,0.057,-0.075000003,0.200000003,0.097000003,118
1,208,2,-0.075000003,-0.200000003,0.017000001,-0.075000003,0.200000003,0.097000003,119
2,209,2,0.174999997,0.24849999,0.032499999,-0.150000006,-0.25,0.079999998,120
2,217,2,-0.174999997,-0.223499998,0.032000002,0,-0.200000003,0.097000003,121
0,218,2,0.075000003,-0.200000003,0.057,0.150000006,-0.25,0.08,122
1,218,2,0.075000003,-0.200000003,0,0.150000006,-0.25,0.097000003,123
0,219,2,0.125,-0.224999994,0.057,-0.116666667,-0.25,0.114,124
0,222,2,-0.075000003,0.100000001,0.034000002,0,-0.25,0.114,125
2,223,2,0.174999997,0.24849999,0.032499999,0.116666667,-0.25,0.114,126
0,225,2,0.125,0.25,0.079999998,0.091666669,0.25,0.097000003,127
1,225,2,0.125,0.25,0.079999998,0.091666669,0.25,0.097000003,128
0,226,2,-0.075000003,0.200000003,0.057,0.15,0.25,0.114,129
1,226,2,-0.075000003,0.200000003,0.097000003,0.15,0.25,0.114,130
2,234,2,-0.008333335,0.201499999,0,0.174999997,0.25,0.097000003,131
1,235,2,-0.116666667,-0.25,0.114,-0.091666669,0.25,0.097000003,132
2,238,2,-0.150000006,0.24849999,0.032499999,-0.150000006,0.25,0.079999998,133
2,239,2,-0.008333335,0.223499998,0.032499999,-0.174999997,0.25,0.097000003,134