Num,Ch,Res,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R
11,0,0.112581592603,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,2,0.108986515036,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,1,0.100874635322,1,-0.117,0.25,0.114,0.125,0.2,0.057
24,0,0.0575525768841,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,2,0.0324660779148,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,1,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
27,0,0.0,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,2,0.11424733794,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,1,0.0,2,0.092,0.227,0.032,-0.092,-0.25,0.017
36,0,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,2,0.0812497053861,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,1,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
49,0,0.0,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,2,0.22437513391,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,1,0.0975889193797,1,0.075,0.2,0.08,-0.125,-0.1,0.034
50,0,0.198699291725,2,0.092,0.227,0.032,-0.125,-0.1,0.034
50,2,0.278581298645,2,0.092,0.227,0.032,-0.125,-0.1,0.034
50,1,0.101975073572,2,0.092,0.227,0.032,-0.125,-0.1,0.034
1,0,0.211571977464,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
1,2,0.192297104512,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
1,1,0.0,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
10,0,0.123113415484,1,0.125,0.2,0.057,-0.075,-0.2,0.08
10,2,0.0428948349777,1,0.125,0.2,0.057,-0.075,-0.2,0.08
10,1,0.0625347257795,1,0.125,0.2,0.057,-0.075,-0.2,0.08
11,0,0.0,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,2,0.0748909477998,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,1,0.0,1,-0.117,0.25,0.114,0.125,0.2,0.057
13,0,0.220358986674,2,-0.175,0.201,0.0,0.125,0.2,0.057
13,2,0.535356251002,2,-0.175,0.201,0.0,0.125,0.2,0.057
13,1,0.0,2,-0.175,0.201,0.0,0.125,0.2,0.057
14,0,0.846536910526,0,0.125,0.1,0.08,0.125,0.2,0.057
14,2,0.35236358747,0,0.125,0.1,0.08,0.125,0.2,0.057
14,1,0.433992207626,0,0.125,0.1,0.08,0.125,0.2,0.057
15,0,0.0542113963745,0,-0.075,-0.1,0.034,0.125,0.2,0.057
15,2,0.0561824169659,0,-0.075,-0.1,0.034,0.125,0.2,0.057
15,1,0.0,0,-0.075,-0.1,0.034,0.125,0.2,0.057
16,0,0.0,1,-0.125,0.25,0.034,-0.075,0.1,0.057
16,2,0.0521667281502,1,-0.125,0.25,0.034,-0.075,0.1,0.057
16,1,0.0689788034903,1,-0.125,0.25,0.034,-0.075,0.1,0.057
17,0,0.0,1,-0.125,0.25,0.08,-0.075,0.1,0.057
17,2,0.121169261027,1,-0.125,0.25,0.08,-0.075,0.1,0.057
17,1,0.107655952775,1,-0.125,0.25,0.08,-0.075,0.1,0.057
18,0,0.0,0,0.125,-0.2,0.034,-0.075,0.1,0.057
18,2,0.0,0,0.125,-0.2,0.034,-0.075,0.1,0.057
18,1,0.0,0,0.125,-0.2,0.034,-0.075,0.1,0.057
19,0,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
19,2,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
19,1,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
20,0,0.0,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
20,2,0.098785649608,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
20,1,0.0,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
21,0,0.0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
21,2,0.0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
21,1,0.0973173089391,1,0.125,0.25,0.034,-0.075,-0.1,0.057
22,0,0.0924307133927,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
22,2,0.358506947155,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
22,1,0.0,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
24,0,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,2,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,1,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
25,0,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
25,2,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
25,1,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
26,0,0.131515516466,1,0.075,0.2,0.08,-0.092,-0.25,0.017
26,2,0.0565677941701,1,0.075,0.2,0.08,-0.092,-0.25,0.017
26,1,0.0745994253073,1,0.075,0.2,0.08,-0.092,-0.25,0.017
27,0,0.154562759378,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,2,0.238032776351,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,1,0.217845434231,2,0.092,0.227,0.032,-0.092,-0.25,0.017
28,0,0.0951154710503,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
28,2,0.0,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
28,1,0.0,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
29,0,0.0823517644431,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
29,2,0.0,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
29,1,2.29164403775,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
3,0,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
3,2,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
3,1,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
30,0,0.112382680618,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
30,2,0.0,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
30,1,0.12686220201,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
32,0,0.16781084003,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
32,2,0.0,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
32,1,0.0,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
33,0,0.825891365794,0,-0.075,0.1,0.057,-0.075,0.2,0.114
33,2,0.0,0,-0.075,0.1,0.057,-0.075,0.2,0.114
33,1,0.173829465862,0,-0.075,0.1,0.057,-0.075,0.2,0.114
34,0,0.40097147451,1,0.15,0.25,0.017,-0.075,0.2,0.114
34,2,0.14921650098,1,0.15,0.25,0.017,-0.075,0.2,0.114
34,1,2.82361674,1,0.15,0.25,0.017,-0.075,0.2,0.114
36,0,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,2,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,1,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
37,0,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
37,2,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
37,1,0.0918100045098,1,-0.075,0.2,0.017,0.125,-0.2,0.08
39,0,0.085930526708,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
39,2,0.139378648884,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
39,1,0.202733938234,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
40,0,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
40,2,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
40,1,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
42,0,0.108766369768,0,0.075,0.1,0.034,0.075,-0.1,0.08
42,2,0.2719003423,0,0.075,0.1,0.034,0.075,-0.1,0.08
42,1,0.112405825948,0,0.075,0.1,0.034,0.075,-0.1,0.08
43,0,0.0,1,0.0,-0.25,0.097,0.075,-0.1,0.08
43,2,0.0606932096368,1,0.0,-0.25,0.097,0.075,-0.1,0.08
43,1,0.0,1,0.0,-0.25,0.097,0.075,-0.1,0.08
44,0,0.0850995038352,1,0.0,0.25,0.0,0.075,-0.1,0.08
44,2,0.0,1,0.0,0.25,0.0,0.075,-0.1,0.08
44,1,0.0716586424524,1,0.0,0.25,0.0,0.075,-0.1,0.08
45,0,0.0,2,-0.067,0.221,0.032,0.075,-0.1,0.08
45,2,0.458140639366,2,-0.067,0.221,0.032,0.075,-0.1,0.08
45,1,0.104458862954,2,-0.067,0.221,0.032,0.075,-0.1,0.08
48,0,0.0,1,-0.092,0.25,0.097,-0.125,-0.1,0.034
48,2,0.0902331979815,1,-0.092,0.25,0.097,-0.125,-0.1,0.034
48,1,0.0789638253064,1,-0.092,0.25,0.097,-0.125,-0.1,0.034
49,0,0.0,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,2,0.169328853215,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,1,0.0742278015742,1,0.075,0.2,0.08,-0.125,-0.1,0.034
5,0,0.241004621879,2,0.15,-0.201,0.032,-0.125,0.25,0.034
5,2,0.132229156256,2,0.15,-0.201,0.032,-0.125,0.25,0.034
5,1,0.0,2,0.15,-0.201,0.032,-0.125,0.25,0.034
50,0,0.0978458429151,2,0.092,0.227,0.032,-0.125,-0.1,0.034
50,2,0.0927742263433,2,0.092,0.227,0.032,-0.125,-0.1,0.034
50,1,0.0,2,0.092,0.227,0.032,-0.125,-0.1,0.034
7,0,0.104707885284,0,0.125,0.1,0.08,-0.075,-0.2,0.08
7,2,0.0,0,0.125,0.1,0.08,-0.075,-0.2,0.08
7,1,0.0,0,0.125,0.1,0.08,-0.075,-0.2,0.08
8,0,0.0559692581324,2,0.107,0.201,0.08,-0.075,-0.2,0.08
8,2,0.117217497642,2,0.107,0.201,0.08,-0.075,-0.2,0.08
8,1,0.0,2,0.107,0.201,0.08,-0.075,-0.2,0.08
9,0,0.100274567681,0,-0.125,0.1,0.034,-0.075,-0.2,0.08
9,2,0.0,0,-0.125,0.1,0.034,-0.075,-0.2,0.08
9,1,0.0,0,-0.125,0.1,0.034,-0.075,-0.2,0.08
10,0,0.278477365696,1,0.125,0.2,0.057,-0.075,-0.2,0.08
10,2,0.0888209101428,1,0.125,0.2,0.057,-0.075,-0.2,0.08
10,1,0.0773411229511,1,0.125,0.2,0.057,-0.075,-0.2,0.08
12,0,0.139738595883,0,0.125,-0.2,0.08,0.125,0.2,0.057
12,2,0.0,0,0.125,-0.2,0.08,0.125,0.2,0.057
12,1,0.111620217275,0,0.125,-0.2,0.08,0.125,0.2,0.057
14,0,0.78732188212,0,0.125,0.1,0.08,0.125,0.2,0.057
14,2,0.333739541686,0,0.125,0.1,0.08,0.125,0.2,0.057
14,1,0.364407526002,0,0.125,0.1,0.08,0.125,0.2,0.057
15,0,0.0604680685526,0,-0.075,-0.1,0.034,0.125,0.2,0.057
15,2,0.0846756438617,0,-0.075,-0.1,0.034,0.125,0.2,0.057
15,1,0.0,0,-0.075,-0.1,0.034,0.125,0.2,0.057
16,0,0.0634838499037,1,-0.125,0.25,0.034,-0.075,0.1,0.057
16,2,0.0,1,-0.125,0.25,0.034,-0.075,0.1,0.057
16,1,0.0996444600425,1,-0.125,0.25,0.034,-0.075,0.1,0.057
19,0,0.192198750711,1,0.075,-0.2,0.017,-0.075,0.1,0.057
19,2,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
19,1,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
20,0,0.0667366631412,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
20,2,0.0455630659229,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
20,1,0.0,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
21,0,0.0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
21,2,0.0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
21,1,0.0815742982919,1,0.125,0.25,0.034,-0.075,-0.1,0.057
22,0,0.0,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
22,2,0.487342845656,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
22,1,0.144795452018,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
23,0,0.137937993492,2,-0.175,-0.248,0.0,-0.075,-0.1,0.057
23,2,0.626976448626,2,-0.175,-0.248,0.0,-0.075,-0.1,0.057
23,1,0.0,2,-0.175,-0.248,0.0,-0.075,-0.1,0.057
24,0,0.0422819032934,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,2,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,1,0.0285094256255,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
25,0,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
25,2,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
25,1,0.0737670509279,1,0.0,0.2,0.057,-0.075,-0.1,0.057
26,0,0.076710989041,1,0.075,0.2,0.08,-0.092,-0.25,0.017
26,2,0.0,1,0.075,0.2,0.08,-0.092,-0.25,0.017
26,1,0.0704747863482,1,0.075,0.2,0.08,-0.092,-0.25,0.017
27,0,0.110684313741,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,2,0.0948073466892,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,1,0.193874154017,2,0.092,0.227,0.032,-0.092,-0.25,0.017
29,0,0.0,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
29,2,0.0840126383047,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
29,1,3.43822662513,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
3,0,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
3,2,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
3,1,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
30,0,0.106285045594,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
30,2,0.105949849246,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
30,1,0.0,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
32,0,0.273107364947,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
32,2,0.0,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
32,1,0.0,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
33,0,1.08282185767,0,-0.075,0.1,0.057,-0.075,0.2,0.114
33,2,0.0,0,-0.075,0.1,0.057,-0.075,0.2,0.114
33,1,0.22634162317,0,-0.075,0.1,0.057,-0.075,0.2,0.114
34,0,0.337221221055,1,0.15,0.25,0.017,-0.075,0.2,0.114
34,2,0.0,1,0.15,0.25,0.017,-0.075,0.2,0.114
34,1,2.73473600681,1,0.15,0.25,0.017,-0.075,0.2,0.114
35,0,0.314287415289,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
35,2,0.686364462755,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
35,1,0.0,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
36,0,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,2,0.173610188241,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,1,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
37,0,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
37,2,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
37,1,0.0977893667486,1,-0.075,0.2,0.017,0.125,-0.2,0.08
38,0,0.0911194746042,0,-0.075,0.2,0.057,0.125,-0.2,0.08
38,2,0.0819889147075,0,-0.075,0.2,0.057,0.125,-0.2,0.08
38,1,0.136778799997,0,-0.075,0.2,0.057,0.125,-0.2,0.08
39,0,0.0819547315681,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
39,2,0.113908951856,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
39,1,0.0,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
4,0,0.0774774770093,1,0.0,-0.25,0.034,-0.125,0.25,0.034
4,2,0.0,1,0.0,-0.25,0.034,-0.125,0.25,0.034
4,1,0.136876457401,1,0.0,-0.25,0.034,-0.125,0.25,0.034
40,0,0.136309979448,1,0.0,-0.2,0.0,0.125,-0.2,0.08
40,2,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
40,1,0.0694006040322,1,0.0,-0.2,0.0,0.125,-0.2,0.08
41,0,0.0,1,-0.075,0.2,0.097,0.075,-0.1,0.08
41,2,0.141412429797,1,-0.075,0.2,0.097,0.075,-0.1,0.08
41,1,0.0,1,-0.075,0.2,0.097,0.075,-0.1,0.08
42,0,0.138545682945,0,0.075,0.1,0.034,0.075,-0.1,0.08
42,2,0.379339830418,0,0.075,0.1,0.034,0.075,-0.1,0.08
42,1,0.232392073924,0,0.075,0.1,0.034,0.075,-0.1,0.08
44,0,0.0,1,0.0,0.25,0.0,0.075,-0.1,0.08
44,2,0.0,1,0.0,0.25,0.0,0.075,-0.1,0.08
44,1,0.0,1,0.0,0.25,0.0,0.075,-0.1,0.08
45,0,0.152281464797,2,-0.067,0.221,0.032,0.075,-0.1,0.08
45,2,0.561086338807,2,-0.067,0.221,0.032,0.075,-0.1,0.08
45,1,0.0811774605917,2,-0.067,0.221,0.032,0.075,-0.1,0.08
46,0,0.0788780749298,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034
46,2,0.0631248932246,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034
46,1,0.0,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034
47,0,0.0,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034
47,2,0.0,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034
47,1,0.0731027960028,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034
49,0,0.0,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,2,0.139313749575,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,1,0.0,1,0.075,0.2,0.08,-0.125,-0.1,0.034
5,0,0.261219532331,2,0.15,-0.201,0.032,-0.125,0.25,0.034
5,2,0.147176534124,2,0.15,-0.201,0.032,-0.125,0.25,0.034
5,1,0.0,2,0.15,-0.201,0.032,-0.125,0.25,0.034
50,0,0.239747485039,2,0.092,0.227,0.032,-0.125,-0.1,0.034
50,2,0.423504877004,2,0.092,0.227,0.032,-0.125,-0.1,0.034
50,1,0.161528848028,2,0.092,0.227,0.032,-0.125,-0.1,0.034
6,0,0.0745330203417,1,0.175,-0.25,0.0,-0.075,-0.2,0.08
6,2,0.0,1,0.175,-0.25,0.0,-0.075,-0.2,0.08
6,1,0.0772015745952,1,0.175,-0.25,0.0,-0.075,-0.2,0.08
7,0,0.128884995695,0,0.125,0.1,0.08,-0.075,-0.2,0.08
7,2,0.0,0,0.125,0.1,0.08,-0.075,-0.2,0.08
7,1,0.0,0,0.125,0.1,0.08,-0.075,-0.2,0.08
