Num,Ch,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R,Res
41,2,1,-0.075,0.2,0.097,0.075,-0.1,0.08,0.141412429797
39,1,2,-0.092,0.2201,0.032,0.125,-0.2,0.08,0.337673827951
28,0,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017,0.114991006592
45,2,2,-0.067,0.221,0.032,0.075,-0.1,0.08,0.637002945559
42,2,0,0.075,0.1,0.034,0.075,-0.1,0.08,0.379339830418
34,0,1,0.15,0.25,0.017,-0.075,0.2,0.114,0.420182213683
10,0,1,0.125,0.2,0.057,-0.075,-0.2,0.08,0.145001838956
1,0,2,-0.125,-0.201,0.032,-0.125,0.25,0.034,0.211571977464
26,0,1,0.075,0.2,0.08,-0.092,-0.25,0.017,0.131515516466
14,2,0,0.125,0.1,0.08,0.125,0.2,0.057,0.317295594476
8,2,2,0.107,0.201,0.08,-0.075,-0.2,0.08,0.156357457947
5,0,2,0.15,-0.201,0.032,-0.125,0.25,0.034,0.214682604207
27,2,2,0.092,0.227,0.032,-0.092,-0.25,0.017,0.11424733794
9,1,0,-0.125,0.1,0.034,-0.075,-0.2,0.08,0.140443441478
46,0,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034,0.159772288128
23,0,2,-0.175,-0.248,0,-0.075,-0.1,0.057,0.123326886559
31,0,1,-0.075,0.2,0.017,-0.075,0.2,0.114,0.0937688268656
49,2,1,0.075,0.2,0.08,-0.125,-0.1,0.034,0.22437513391
50,0,2,0.092,0.227,0.032,-0.125,-0.1,0.034,0.286760898377
22,2,2,-0.067,0.201,0.032,-0.075,-0.1,0.057,0.40673711532
9,0,0,-0.125,0.1,0.034,-0.075,-0.2,0.08,0.0869399789555
17,1,1,-0.125,0.25,0.08,-0.075,0.1,0.057,0.0960233602037
12,1,0,0.125,-0.2,0.08,0.125,0.2,0.057,0.213825451488
47,1,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034,0.104789656166
14,0,0,0.125,0.1,0.08,0.125,0.2,0.057,0.689287128909
50,2,2,0.092,0.227,0.032,-0.125,-0.1,0.034,0.423504877004
1,2,2,-0.125,-0.201,0.032,-0.125,0.25,0.034,0.192297104512
38,0,0,-0.075,0.2,0.057,0.125,-0.2,0.08,0.178944083436
32,0,0,-0.125,-0.2,0.08,-0.075,0.2,0.114,0.21503125077
45,0,2,-0.067,0.221,0.032,0.075,-0.1,0.08,0.152281464797
36,2,1,0.075,0.2,0.097,0.125,-0.2,0.08,0.0812497053861
10,1,1,0.125,0.2,0.057,-0.075,-0.2,0.08,0.160108837896
44,0,1,0,0.25,0,0.075,-0.1,0.08,0.0850995038352
25,2,1,0,0.2,0.057,-0.075,-0.1,0.057,0.0718280071271
35,2,2,-0.092,0.2205,0.032,-0.075,0.2,0.114,0.540080745874
33,0,0,-0.075,0.1,0.057,-0.075,0.2,0.114,0.829250481833
19,0,1,0.075,-0.2,0.017,-0.075,0.1,0.057,0.192198750711
2,0,0,-0.125,0.2,0.08,-0.125,0.25,0.034,0.742458539426
7,0,0,0.125,0.1,0.08,-0.075,-0.2,0.08,0.226237538691
40,0,1,0,-0.2,0,0.125,-0.2,0.08,0.0978310524694
12,0,0,0.125,-0.2,0.08,0.125,0.2,0.057,0.287172849984
13,2,2,-0.175,0.201,0,0.125,0.2,0.057,1.09062726023
30,0,1,0.125,-0.2,0.08,-0.092,-0.25,0.017,0.112382680618
30,2,1,0.125,-0.2,0.08,-0.092,-0.25,0.017,0.146716138789
16,1,1,-0.125,0.25,0.034,-0.075,0.1,0.057,0.0746980384643
12,2,0,0.125,-0.2,0.08,0.125,0.2,0.057,0.211960434477
39,0,2,-0.092,0.2201,0.032,0.125,-0.2,0.08,0.170088590713
6,1,1,0.175,-0.25,0,-0.075,-0.2,0.08,0.153603900339
17,0,1,-0.125,0.25,0.08,-0.075,0.1,0.057,0.0809242464034
38,2,0,-0.075,0.2,0.057,0.125,-0.2,0.08,0.0819889147075
38,1,0,-0.075,0.2,0.057,0.125,-0.2,0.08,0.150486187611
23,2,2,-0.175,-0.248,0,-0.075,-0.1,0.057,0.459405180995
33,2,0,-0.075,0.1,0.057,-0.075,0.2,0.114,0.100486565968
21,1,1,0.125,0.25,0.034,-0.075,-0.1,0.057,0.137102931266
42,0,0,0.075,0.1,0.034,0.075,-0.1,0.08,0.306147730496
35,0,2,-0.092,0.2205,0.032,-0.075,0.2,0.114,0.314287415289
28,2,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017,0.0940765895666
47,0,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034,0.104141002145
9,2,0,-0.125,0.1,0.034,-0.075,-0.2,0.08,0.143019359629
29,2,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017,0.0895351061187
42,1,0,0.075,0.1,0.034,0.075,-0.1,0.08,0.326530606416
48,2,1,-0.092,0.25,0.097,-0.125,-0.1,0.034,0.0902331979815
6,0,1,0.175,-0.25,0,-0.075,-0.2,0.08,0.090342946214
15,2,0,-0.075,-0.1,0.034,0.125,0.2,0.057,0.112959600796
13,0,2,-0.175,0.201,0,0.125,0.2,0.057,0.208642192508
2,1,0,-0.125,0.2,0.08,-0.125,0.25,0.034,0.0723652691588
14,1,0,0.125,0.1,0.08,0.125,0.2,0.057,0.433992207626
20,2,0,-0.075,-0.1,0.08,-0.075,0.1,0.057,0.098785649608
11,0,1,-0.117,0.25,0.114,0.125,0.2,0.057,0.112581592603
49,1,1,0.075,0.2,0.08,-0.125,-0.1,0.034,0.156979771755
29,0,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017,0.128767265293
2,2,0,-0.125,0.2,0.08,-0.125,0.25,0.034,0.201645839096
31,2,1,-0.075,0.2,0.017,-0.075,0.2,0.114,0.0807972388095
4,1,1,0,-0.25,0.034,-0.125,0.25,0.034,0.136876457401
16,0,1,-0.125,0.25,0.034,-0.075,0.1,0.057,0.0710487901832
39,2,2,-0.092,0.2201,0.032,0.125,-0.2,0.08,0.234618962936
5,2,2,0.15,-0.201,0.032,-0.125,0.25,0.034,0.147176534124
25,0,1,0,0.2,0.057,-0.075,-0.1,0.057,0.0810800084135
34,2,1,0.15,0.25,0.017,-0.075,0.2,0.114,0.14921650098
25,1,1,0,0.2,0.057,-0.075,-0.1,0.057,0.10085120063
46,2,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034,0.117122384362
35,1,2,-0.092,0.2205,0.032,-0.075,0.2,0.114,0.118447265071
44,2,1,0,0.25,0,0.075,-0.1,0.08,0.0972008458809
7,1,0,0.125,0.1,0.08,-0.075,-0.2,0.08,0.078974734686
18,2,0,0.125,-0.2,0.034,-0.075,0.1,0.057,0.145705814151
37,1,1,-0.075,0.2,0.017,0.125,-0.2,0.08,0.0977893667486
29,1,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017,1.31977400508
44,1,1,0,0.25,0,0.075,-0.1,0.08,0.0716586424524
50,1,2,0.092,0.227,0.032,-0.125,-0.1,0.034,0.223454814011
27,0,2,0.092,0.227,0.032,-0.092,-0.25,0.017,0.16861486757
41,0,1,-0.075,0.2,0.097,0.075,-0.1,0.08,0.0643767759466
34,1,1,0.15,0.25,0.017,-0.075,0.2,0.114,0.941353164193
13,1,2,-0.175,0.201,0,0.125,0.2,0.057,0.122299265523
18,1,0,0.125,-0.2,0.034,-0.075,0.1,0.057,0.0951522853972
40,1,1,0,-0.2,0,0.125,-0.2,0.08,0.0694006040322
22,0,2,-0.067,0.201,0.032,-0.075,-0.1,0.057,0.0924307133927
3,0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034,0
3,2,1,-0.115,-0.25,0.034,-0.125,0.25,0.034,0
4,2,1,0,-0.25,0.034,-0.125,0.25,0.034,0
7,2,0,0.125,0.1,0.08,-0.075,-0.2,0.08,0
19,1,1,0.075,-0.2,0.017,-0.075,0.1,0.057,0
19,2,1,0.075,-0.2,0.017,-0.075,0.1,0.057,0
20,1,0,-0.075,-0.1,0.08,-0.075,0.1,0.057,0
21,0,1,0.125,0.25,0.034,-0.075,-0.1,0.057,0
21,2,1,0.125,0.25,0.034,-0.075,-0.1,0.057,0
28,1,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017,0
31,1,1,-0.075,0.2,0.017,-0.075,0.2,0.114,0
32,1,0,-0.125,-0.2,0.08,-0.075,0.2,0.114,0
32,2,0,-0.125,-0.2,0.08,-0.075,0.2,0.114,0
36,1,1,0.075,0.2,0.097,0.125,-0.2,0.08,0
37,0,1,-0.075,0.2,0.017,0.125,-0.2,0.08,0
37,2,1,-0.075,0.2,0.017,0.125,-0.2,0.08,0
40,2,1,0,-0.2,0,0.125,-0.2,0.08,0
41,1,1,-0.075,0.2,0.097,0.075,-0.1,0.08,0
43,0,1,0,-0.25,0.097,0.075,-0.1,0.08,0
43,1,1,0,-0.25,0.097,0.075,-0.1,0.08,0
46,1,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034,0
47,2,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034,0
48,0,1,-0.092,0.25,0.097,-0.125,-0.1,0.034,0
49,0,1,0.075,0.2,0.08,-0.125,-0.1,0.034,0